Rank,Name,Global_Sales,,platform,Genre,Publisher,NA_Sales,¯Êº|
1,1 Sports,82.74,,1,1,1,41.49,471
2,Super Mario Bros.,40.24,,2,2,1,29.08,
3,Mario Kart 1,35.82,,1,3,1,15.85,
4,1 Sports Resort,33,,1,1,1,15.75,
5,Pokemon Red/Pokemon Blue,31.37,,3,4,1,11.27,
6,Tetris,30.26,,3,5,1,23.2,
7,New Super Mario Bros.,30.01,,4,2,1,11.38,
8,1 Play,29.02,,1,6,1,14.03,
9,New Super Mario Bros. 1,28.62,,1,2,1,14.59,
10,Duck Hunt,28.31,,2,7,1,26.93,
11,1gs,24.76,,4,8,1,9.07,
12,Mario Kart 4,23.42,,4,3,1,9.81,
13,Pokemon Gold/Pokemon Silver,23.1,,3,4,1,9,
14,1 Fit,22.72,,1,1,1,8.94,
15,1 Fit Plus,22,,1,1,1,9.09,
16,Kinect Adventures!,21.82,,5,6,2,14.97,
17,Grand Theft Auto V,21.4,,6,9,3,7.01,
18,Grand Theft Auto: San Andreas,20.81,,7,9,3,9.43,
19,Super Mario World,20.61,,8,2,1,12.78,
20,Brain Age: Train Your Brain in Minutes a Day,20.22,,4,6,1,4.75,
21,Pokemon Diamond/Pokemon Pearl,18.36,,4,4,1,6.42,
21,The Walking Dead: Season One,0.79,,6,10,128,10.83,
22,Super Mario Land,18.14,,3,2,1,9.54,
23,Super Mario Bros. 3,17.28,,2,2,1,9.63,
24,Grand Theft Auto V,16.38,,5,9,3,8.41,
25,Grand Theft Auto: Vice City,16.15,,7,9,3,6.06,
26,Pokemon Ruby/Pokemon Sapphire,15.85,,9,4,1,5.57,
27,Pokemon Black/Pokemon White,15.32,,4,4,1,3.44,
28,Brain Age 2: More Training in Minutes a Day,15.3,,4,5,1,6.85,
29,Gran Turismo 3: A-Spec,14.98,,7,3,4,9.03,
30,Call of Duty: Modern Warfare 3,14.76,,5,7,5,5.89,
31,Pok?mon Yellow: Special Pikachu Edition,14.64,,3,4,1,9.67,
32,Call of Duty: Black Ops,14.64,,5,7,5,5.17,
33,Pokemon X/Pokemon Y,14.35,,10,4,1,5.77,
34,Call of Duty: Black Ops 3,14.24,,11,7,5,4.99,
35,Call of Duty: Black Ops II,14.03,,6,7,5,8.25,
36,Call of Duty: Black Ops II,13.73,,5,7,5,8.52,
37,Call of Duty: Modern Warfare 2,13.51,,5,7,5,5.54,
38,Call of Duty: Modern Warfare 3,13.46,,6,7,5,6.99,
39,Grand Theft Auto III,13.1,,7,9,3,6.75,
40,Super Smash Bros. Brawl,13.04,,1,11,1,5.98,
41,Call of Duty: Black Ops,12.73,,6,7,5,2.55,
42,Animal Crossing: Wild World,12.27,,4,8,1,4.74,
43,Mario Kart 7,12.21,,10,3,1,7.97,
44,Halo 3,12.14,,5,7,2,3.8,
45,Grand Theft Auto V,11.98,,11,9,3,4.4,
46,Pokemon HeartGold/Pokemon SoulSilver,11.9,,4,9,1,6.91,
47,Super Mario 64,11.89,,12,2,1,3.01,
48,Gran Turismo 4,11.66,,7,3,4,6.16,
49,Super Mario Galaxy,11.52,,1,2,1,4.23,
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,11.33,,10,4,1,6.16,
51,Super Mario Land 2: 6 Golden Coins,11.18,,3,10,1,6.76,
52,Grand Theft Auto IV,11.02,,5,9,3,4.02,
53,Gran Turismo,10.95,,13,3,4,4.89,
54,Super Mario 3D Land,10.79,,10,2,1,2.96,
55,Gran Turismo 5,10.77,,6,3,4,4.99,
56,Call of Duty: Modern Warfare 2,10.69,,6,7,5,4.76,
57,Grand Theft Auto IV,10.57,,6,9,3,5.99,
58,Super Mario All-Stars,10.55,,8,2,1,4.34,
59,Pokemon FireRed/Pokemon LeafGreen,10.49,,9,4,1,5.08,
60,Super Mario 64,10.42,,4,2,1,6.05,
61,Just Dance 3,10.26,,1,6,6,6.72,
62,Call of Duty: Ghosts,10.21,,5,7,5,7.03,
63,Halo: Reach,9.88,,5,7,2,5.55,
64,Mario Kart 64,9.87,,12,3,1,3.66,
65,New Super Mario Bros. 2,9.82,,10,2,1,6.63,
66,Halo 4,9.76,,5,7,2,3.01,
67,Final Fantasy VII,9.72,,13,4,4,4.09,
68,Call of Duty: Ghosts,9.59,,6,7,5,5.84,
69,Just Dance 2,9.52,,1,6,6,3.88,
70,Gran Turismo 2,9.49,,13,3,4,5.91,
71,Call of Duty 4: Modern Warfare,9.32,,5,7,5,4.36,
72,Donkey Kong Country,9.3,,8,2,1,5.58,
73,Minecraft,9.2,,5,6,2,2.01,
74,Animal Crossing: New Leaf,9.09,,10,8,1,4.46,
75,Mario Party 4,9.02,,4,6,1,5.03,
76,The Elder Scrolls V: Skyrim,8.84,,5,4,7,3.54,
77,Super Mario Kart,8.76,,8,3,1,1.11,
78,FIFA 16,8.49,,11,1,8,1.79,
79,1 Party,8.49,,1,6,1,6.82,
80,Halo 2,8.49,,14,7,2,3.81,
81,Mario Party 8,8.42,,1,6,1,2.91,
82,Pokemon Black 2/Pokemon White 2,8.33,,4,4,1,1.06,
83,FIFA Soccer 13,8.24,,6,9,8,0.98,
84,The Sims 3,8.11,,15,8,8,5.8,
85,GoldenEye 007,8.09,,12,7,1,2.58,
86,Mario & Sonic at the Olympic Games,8.06,,1,1,9,2.91,
87,Final Fantasy X,8.05,,7,4,4,2.28,
88,Final Fantasy VIII,7.86,,13,4,11,2.82,
89,Pokemon Platinum Version,7.84,,4,4,1,7.28,
90,Pac-Man,7.81,,21,5,12,2.9,
91,Grand Theft Auto: Liberty City Stories,7.72,,16,9,3,3.66,
92,Super Mario Galaxy 2,7.69,,1,2,1,2.93,
93,Star Wars Battlefront (2015),7.67,,11,7,8,2.8,
94,Call of Duty: Advanced Warfare,7.6,,11,7,5,4.1,
95,The Legend of Zelda: Ocarina of Time,7.6,,12,9,1,3.78,
96,Crash Bandicoot 2: Cortex Strikes Back,7.58,,13,2,4,5.39,
97,Super Mario Bros. 2,7.46,,2,2,1,3.24,
98,Super Smash Bros. for 1 U and 34,7.45,,10,11,1,4.79,
99,Call of Duty: World at War,7.37,,5,7,5,4.46,
100,Battlefield 3,7.34,,5,7,8,3.83,
101,The Legend of Zelda: Twilight Princess,7.31,,1,9,1,4.52,
102,Call of Duty: Black Ops 3,7.3,,17,7,5,3.51,
103,Just Dance,7.27,,1,6,6,2.85,
104,Battlefield 3,7.23,,6,7,8,3.27,
105,Need for Speed Underground,7.2,,7,3,8,3.27,
106,Tekken 3,7.16,,13,11,4,3.68,
